Name,Date,Type,ingo,l33tname,madmas,makefu,pfleidi,marc
Binärgewitter Talk #219: Live vom 35C3,29.12.2018,Talk,1,1,1,1,0,0
Binärgewitter Westcoast #5: Interessengemeinschaft für Docker,21.12.2018,Westcoast,0,0,0,0,1,1
Binärgewitter Talk #218: Männer die auf Crypto gucken,08.12.2018,Talk,1,1,0,1,0,0
Binärgewitter Talk #217: Go2ReleaseParty,30.11.2018,Talk,0,1,1,1,0,0
Binärgewitter Talk #216: Thorsten hat Ubuntu,24.11.2018,Talk,1,1,0,1,0,0
Binärgewitter Talk #215: Macht bessere Fehler,11.11.2018,Talk,1,1,1,0,0,0
Binärgewitter Talk #214: Wegdockern!,25.10.2018,Talk,1,1,1,1,0,0
Binärgewitter Talk #213: die neuen Pole bilden,19.10.2018,Talk,1,1,0,1,0,0
Binärgewitter Talk #212: PODcast,05.10.2018,Talk,1,0,1,0,0,0
Binärgewitter Talk #211: XML kann weg,21.09.2018,Talk,1,1,1,0,0,0
Binärgewitter Talk #210: agile ist die Blockchain von damals,12.09.2018,Talk,0,1,1,1,0,0
Binärgewitter Talk #209: DSLedge,07.09.2018,Talk,1,1,0,1,0,0
Binärgewitter Talk #208: PoE WLAN-Kabel,25.08.2018,Talk,0,1,1,0,0,0
Binärgewitter Westcoast #4: Hitzetod im Kabuff,02.08.2018,Westcoast,0,0,0,0,1,1
Binärgewitter Talk #207: Heise Offline,21.07.2018,Talk,1,1,0,1,0,0
Binärgewitter Talk #206: Das ist ARM,13.07.2018,Talk,1,1,1,0,0,0
Binärgewitter Talk #205: AMD Intel Messenger,30.06.2018,Talk,0,1,1,1,0,0
Binärgewitter Talk #204: Internet of Kaffee,15.06.2018,Talk,1,1,1,1,0,0
Binärgewitter Talk #203: software defined ram,01.06.2018,Talk,1,1,1,0,0,0
Binärgewitter Talk #202: verschlüsselte Erinnerungstransformation,26.05.2018,Talk,1,1,0,1,0,0
Binärgewitter Talk #201: Gefährliches Unwissen,11.05.2018,Talk,1,1,0,1,0,0
Binärgewitter Talk #200: Lüg-OS,03.05.2018,Talk,1,1,1,1,0,0
Binärgewitter Talk #199: Enterprise Bastel Edition,20.04.2018,Talk,1,1,1,1,0,0
Binärgewitter Talk #198: Herduhragentur,11.04.2018,Talk,1,0,1,1,0,0
Binärgewitter Talk #197: flickr Klicker,07.04.2018,Talk,0,1,1,0,0,0
Binärgewitter Talk #196: Der Oracle Mann kommt,29.03.2018,Talk,1,1,1,1,0,0
Binärgewitter Talk #195: Tooltipp Gamer,23.03.2018,Talk,1,1,1,1,0,0
"Binärgewitter Talk #194: langsam ist sicher, aber nicht immer gut",09.03.2018,Talk,1,1,1,1,0,0
Binärgewitter Talk #193: Die beste Entscheidung seit dem neuen Nutella Rezept,28.02.2018,Talk,0,1,1,1,0,0
Binärgewitter Talk #192: Bitcoinheizung,16.02.2018,Talk,1,0,1,1,0,0
Binärgewitter Talk #191: Kim ist unser Elon Musk,08.02.2018,Talk,1,1,0,1,0,0
Binärgewitter Talk #190: Windy,19.01.2018,Talk,1,1,1,0,0,0
Binärgewitter Talk #189: Bundes CheeseFS,05.01.2018,Talk,0,1,1,1,0,0
Binärgewitter Talk #188: Tuwat,01.01.2018,Talk,1,1,1,1,0,0
