Name,Release Date,Record Date,Type,Duration,ingo,l33tname,madmas,makefu,pfleidi,marc
"Binärgewitter Talk #328: moderne Lava-Lampe am 37c3",2023-12-30,2023-12-30,Talk,00:48:35,0,1,1,0,0,0
"Binärgewitter Talk #327: meine AI ist in der Pubertät",2023-12-19,2023-12-18,Talk,01:30:08,1,0,1,1,0,0
"Binärgewitter Talk #326: AI-lluminaten",2023-12-05,2023-12-04,Talk,02:24:19,1,1,1,1,0,0
"Binärgewitter Talk #325: von Roboter für Roboter",2023-11-18,2023-11-17,Talk,02:35:00,1,1,1,1,0,0
"Binärgewitter Talk #324: im Keller ist es billiger",2023-11-02,2023-11-01,Talk,02:09:14,1,1,1,1,0,0
"Binärgewitter Talk #323: Curry mit OpenTofu",2023-10-05,2023-10-04,Talk,01:53:13,1,1,1,0,0,0
"Binärgewitter Talk #322: markus von den Medien",2023-09-20,2023-09-18,Talk,02:48:08,1,1,1,0,0,0
"Binärgewitter Talk #321: 8 Sekunden sind uns zu wenig!",2023-09-02,2023-08-31,Talk,02:16:27,0,1,1,1,0,0
"Binärgewitter Talk #320: Für die Liebe zu systemd",2023-08-21,2023-08-18,Talk,01:47:35,1,0,0,1,0,0
"Binärgewitter Talk #319: WireGuard curious",2023-08-10,2023-08-08,Talk,01:55:33,0,1,1,0,0,0
"Binärgewitter Talk #318: Linus Torwalds ruft zur Ruhe auf",2023-07-20,2023-07-19,Talk,01:59:23,1,0,1,1,0,0
"Binärgewitter Talk #317: Virenschutz für deine RSS Feeds",2023-06-30,2023-06-29,Talk,02:00:27,1,0,1,1,0,0
"Binärgewitter Talk #316: Klobi der Reddit Client",2023-06-15,2023-06-13,Talk,02:53:56,1,1,1,1,0,0
"Binärgewitter Talk #315: ChatGPT, confident aber auch oft ein bisschen falsch",2023-05-19,2023-05-18,Talk,03:34:07,1,1,1,1,0,0
"Binärgewitter Talk #314: Influencer zu Heizungsbauer",2023-04-21,2023-04-20,Talk,02:31:03,1,1,1,1,0,0
"Binärgewitter Talk #313: Die SMSAusdrucker",2023-03-28,2023-03-27,Talk,02:13:14,1,0,1,1,0,0
"Binärgewitter Talk #312: Wenn sich Deine Realität ändert bekommst du ein Pop-Up",2023-03-10,2023-03-09,Talk,01:32:17,1,0,1,1,0,0
"Binärgewitter Talk #311: auch ein Host von Binärgewitter",2023-02-18,2023-02-18,Talk,01:36:49,1,0,1,1,0,0
"Binärgewitter Talk #310: Java Opportunities",2023-01-28,2023-01-26,Talk,01:33:42,1,1,1,1,0,0
"Binärgewitter Talk #309: 10 von 10 would exploit again",2023-01-06,2023-01-05,Talk,01:55:32,1,1,1,1,0,0
