Name,Release Date,Record Date,Type,Duration,ingo,l33tname,madmas,makefu,pfleidi,marc
"Binärgewitter Talk #350: Wir haben doch keine Zeit",2024-12-28,2024-12-28,Talk,01:02:24,1,0,1,1,0,0
"Binärgewitter Talk #349: Blauhelm Browser",2024-12-11,2024-11-10,Talk,02:23:12,1,1,1,1,0,0
"Binärgewitter Talk #348: Nicht mehr ganz Knusper",2024-11-20,2024-11-19,Talk,02:02:42,1,1,1,0,0,0
"Binärgewitter Talk #347: DRM Brennstäbe",2024-11-09,2024-11-08,Talk,01:15:08,1,0,1,1,0,0
"Binärgewitter Talk #346: Duoingo",2024-10-26,2024-10-25,Talk,02:07:34,1,1,0,1,0,0
"Binärgewitter Talk #345: zu Ingos Studienzeiten",2024-10-14,2024-10-13,Talk,02:35:36,1,1,1,1,0,0
"Binärgewitter Talk #344: Das Internet ist rund",2024-10-01,2024-09-30,Talk,02:24:53,1,1,1,1,0,0
"Binärgewitter Talk #343: Alle 10 Jahre updaten",2024-09-12,2024-09-10,Talk,02:26:24,1,1,1,1,0,0
"Binärgewitter Talk #342: Doppeldiskettenbrief",2024-08-21,2024-08-19,Talk,02:24:04,0,1,1,1,0,0
"Binärgewitter Talk #341: Meister Aider",2024-08-03,2024-08-02,Talk,02:29:47,1,1,1,1,0,0
"Binärgewitter Talk #340: the crowd strikes back",2024-06-28,2024-07-19,Talk,02:06:02,1,0,0,1,0,0
"Binärgewitter Talk #339: Extention Blast",2024-06-28,2024-06-27,Talk,02:02:11,1,1,1,0,0,0
"Binärgewitter Talk #338: neu in eurem apt store",2024-06-12,2024-06-11,Talk,02:36:13,1,1,1,1,0,0
"Binärgewitter Talk #337: Saubere Studenten",2024-05-21,2024-05-20,Talk,02:38:20,1,1,0,1,0,0
"Binärgewitter Talk #336: 18 Euro Mediathek",2024-05-10,2024-05-09,Talk,03:21:20,1,1,1,1,0,0
"Binärgewitter Talk #335: KaPutty",2024-04-20,2024-04-19,Talk,02:51:26,1,0,1,1,0,0
"Binärgewitter Talk #334: Die Adobe Lightroom Downloader App",2024-03-29,2024-03-28,Talk,02:45:18,1,1,1,1,0,0
"Binärgewitter Talk #333: systemd expansion pack",2024-03-07,2024-03-05,Talk,02:06:30,1,1,0,1,0,0
"Binärgewitter Talk #332: Der kleine Felix möchte gerne aus dem Div Center abgeholt werden",2024-02-17,2024-02-16,Talk,01:57:37,1,1,0,1,0,0
"Binärgewitter Talk #331: Atlassian Klaut Lebenszeit",2024-02-03,2024-02-02,Talk,02:16:48,0,1,1,1,0,0
"Binärgewitter Talk #330: OpenSource Plus",2024-01-20,2024-01-19,Talk,02:30:16,1,1,1,1,0,0
"Binärgewitter Talk #329: Turbo Niklaus",2024-01-05,2024-01-04,Talk,02:25:06,1,1,1,1,0,0

